Nazwa pliku: Data/burma14.tsp.txt
Powtórzenia algorytmu: 10
Optymalny koszt: 3323
Otrzymany koszt: ;Wspó³czynnik b³êdu[j]: ;Wspó³czynnik b³êdu[%]: ;Czas wykonywania[ms] ;Rozwi¹zania dla alpha = 1
1278 ; 6 ; 0.471698 ; 125.228 ; 
1278 ; 6 ; 0.471698 ; 120.195 ; 
1278 ; 6 ; 0.471698 ; 120.893 ; 
1278 ; 6 ; 0.471698 ; 121.541 ; 
1278 ; 6 ; 0.471698 ; 127.058 ; 
1278 ; 6 ; 0.471698 ; 124.265 ; 
Œredni czas wykonywania algorytmu [ms]:  ; 110.231
Œredni wspó³czynnik b³êdu [j]:  ; 14.4
Œredni wspó³czynnik b³êdu [%]:  ; 1.13208
Optymalny koszt:  ; 1272

Rozwi¹zania dla beta = 9
1278 ; 6 ; 0.471698 ; 122.549 ; 
1278 ; 6 ; 0.471698 ; 123.007 ; 
1278 ; 6 ; 0.471698 ; 121.17 ; 
1278 ; 6 ; 0.471698 ; 120.748 ; 
1278 ; 6 ; 0.471698 ; 126.473 ; 
1278 ; 6 ; 0.471698 ; 125.616 ; 
1278 ; 6 ; 0.471698 ; 123.404 ; 
1278 ; 6 ; 0.471698 ; 122.756 ; 
1278 ; 6 ; 0.471698 ; 119.737 ; 
1278 ; 6 ; 0.471698 ; 126.794 ; 
Œredni czas wykonywania algorytmu [ms]:  ; 110.546
Œredni wspó³czynnik b³êdu [j]:  ; 6
Œredni wspó³czynnik b³êdu [%]:  ; 0.471698
Optymalny koszt:  ; 1272

Nazwa pliku: Data/bays29.tsp.txt
Powtórzenia algorytmu: 10
Optymalny koszt: 2020
Otrzymany koszt: ;Wspó³czynnik b³êdu[j]: ;Wspó³czynnik b³êdu[%]: ;Czas wykonywania[ms] ;Rozwi¹zania dla alpha = 1
Rozwi¹zania dla beta = 6
2069 ; 49 ; 2.42574 ; 194.706 ; 
2069 ; 49 ; 2.42574 ; 196.409 ; 
2069 ; 49 ; 2.42574 ; 194.649 ; 
2069 ; 49 ; 2.42574 ; 200.168 ; 
2069 ; 49 ; 2.42574 ; 200.056 ; 
2074 ; 54 ; 2.67327 ; 192.328 ; 
2074 ; 54 ; 2.67327 ; 206.829 ; 
2074 ; 54 ; 2.67327 ; 201.57 ; 
2074 ; 54 ; 2.67327 ; 195.02 ; 
2074 ; 54 ; 2.67327 ; 199.506 ; 
Œredni czas wykonywania algorytmu [ms]:  ; 178.173
Œredni wspó³czynnik b³êdu [j]:  ; 51.5
Œredni wspó³czynnik b³êdu [%]:  ; 2.5495
Optymalny koszt:  ; 2020

